snomed_code,name,mimic_icd10,confidence,notes
10370003,pacing rhythm,,none,Chapter XXI (Z95.0 presence of pacemaker) not Chapter IX
106068003,atrial rhythm (ectopic),I49,low,catch-all other-arrhythmia bucket
111288001,ventricular flutter,I49,high,I49.02
11157007,ventricular bigeminy,I49,high,I49.3 pattern
111975006,prolonged QT interval,,none,interval measurement finding not disease (R94.31); LQTS itself would be I45.81 but this label is the generic finding
13640000,fusion beats,I49,medium,ventricular ectopic pattern
164865005,myocardial infarction,I21,medium,generic MI could be acute(I21) or old(I25); CSN's regional-wall labels read as acute ECG patterns
164873001,left ventricular hypertrophy,I51,low,voltage-criteria ECG finding; I51.7 cardiomegaly is the conventional but weak crosswalk bucket
164889003,atrial fibrillation,I48,high,
164890007,atrial flutter,I48,high,
164896001,ventricular fibrillation,I49,high,I49.01
164909002,left bundle branch block,I44,high,I44.7
164912004,P wave change,,none,ECG descriptor
164917005,Q wave abnormal,,none,ECG descriptor
164930006,ST interval abnormal,,none,ECG descriptor
164931005,ST elevation,,none,ECG descriptor
164934002,T wave abnormal,,none,ECG descriptor
164937009,U wave abnormal,,none,ECG descriptor
164942001,fQRS wave,,none,ECG descriptor
164947007,prolonged PR interval,,none,interval measurement finding, not an AV block diagnosis
17338001,ventricular premature beats,I49,high,I49.3
17366009,sinus-to-atrial wandering rhythm,I49,low,catch-all other-arrhythmia bucket
195042002,2nd degree AV block,I44,high,I44.1
195060002,ventricular pre-excitation,I45,high,I45.6
195101003,wandering atrial pacemaker,I49,low,catch-all other-arrhythmia bucket
233892002,accelerated atrial escape rhythm,I49,low,catch-all other-arrhythmia bucket
233897008,AV reentrant tachycardia,I47,high,I47.1
233917008,AV block (unspecified),I44,high,
251120003,incomplete left bundle branch block,I44,high,I44.6/I44.7 family
251146004,low QRS voltage,,none,ECG descriptor
251164006,junctional premature complex,I49,high,I49.2
251166008,AV nodal reentrant tachycardia,I47,high,I47.1
251170000,blocked premature atrial contraction,I49,medium,I49.1 family
251173003,atrial bigeminy,I49,high,I49.1 pattern
251180001,ventricular trigeminy,I49,high,I49.3 pattern
251187003,atrial escape beat,I49,medium,bradyarrhythmia-adjacent escape beat
